objectid,filename,youtubeid,title,creator,date,description,subject,type,format,language,rights,rightsstatement
RSL-003,library_building_front.jpg,—,Rising Star Library Building (Front View),Donna Fretchjen C. Castil,2023,Photograph of the front façade of Rising Star Library,Library Facilities,Image,JPG,English,Copyright,http://rightsstatements.org/vocab/NoC-US/1.0/
RSL-004,reading_area.jpg,—,Library Reading Area,Donna Fretchjen C. Castil,2023,Photo showing the main reading area for students,Reading Facilities,Image,JPG,English,Copyright,http://rightsstatements.org/vocab/NoC-US/1.0/
